name,host_name,latitude,longitude,host_since,host_location,host_acceptance_rate,property_type,room_type,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_rating
Lovely private bedroom in Muswell Hill.,Forough,51.59728,-0.13933,2015-07-20,"London, United Kingdom",,Private room in condo,Private room,$100.00,1,365,30,365,0,
Studio Flat  Franklin London,Hussein,51.63651788987343,-0.1774751266027718,2023-01-14,"London, United Kingdom",100%,Entire rental unit,Entire home/apt,$65.00,180,365,30,365,0,
PropertyPlug - 2Bed Flat in Edgware SmartTV WiFi,Paul,51.60818,-0.2774,2020-01-08,,91%,Entire rental unit,Entire home/apt,$132.00,2,28,12,35,0,
Wimbledon Double Bedroom Ensuite,Nikki,51.42231,-0.18841,2010-08-01,"London, United Kingdom",100%,Private room in rental unit,Private room,$100.00,5,1125,30,365,4,3.67
Stunning Apartment 2 minutes walk to Tube Station,Joseph,51.6022816,-0.1936056,2014-12-22,,46%,Entire condo,Entire home/apt,$120.00,5,90,23,337,0,
Cosy room with own bathroom,Ekaterina,51.4160473844068,-0.1742987295428514,2023-02-12,,100%,Private room in rental unit,Private room,$43.00,1,365,20,278,3,4.67
Waddon Coach House 2,Jahmal,51.37069072321736,-0.1099555958396684,2022-12-09,,87%,Entire home,Entire home/apt,$100.00,2,365,9,252,6,4.5
Please call me on 07776789835 as I got 1 bedroom,Jeetesh,51.62678729503646,-0.1503227278590202,2016-04-11,"England, United Kingdom",100%,Private room in bed and breakfast,Private room,$50.00,1,365,30,365,0,
Double Room 1 with shared bathroom,Timi,51.60415,-0.14812,2022-07-28,,93%,Private room in bed and breakfast,Private room,$90.00,1,365,25,278,0,
Specious private single bed room,Marta,51.61334,-0.12591,2021-06-17,"England, United Kingdom",100%,Private room in rental unit,Private room,$29.00,1,6,0,11,2,5.0
Garden Flat,Trina,51.46896306129519,-0.2687804773449898,2014-11-18,"London, United Kingdom",,Private room in home,Private room,$500.00,30,365,30,365,0,
Modern Studio in Zone 2,Catherine,51.54753970939434,-0.2327131107579418,2022-06-30,,100%,Entire rental unit,Entire home/apt,$81.00,1,365,29,364,0,
Lovely bedroom overlooking park,Simon,51.64040840000001,-0.1881663,2015-11-09,"England, United Kingdom",100%,Private room in home,Private room,$59.00,1,365,25,359,10,4.8
Modern Designer Home with Lovely Garden,Ann,51.37973,-0.25625,2016-09-25,"London, United Kingdom",0%,Entire home,Entire home/apt,$160.00,4,10,23,83,0,
Apartment South Croydon,Joanna,51.358813171137015,-0.0895901396870613,2017-08-11,"South Croydon, United Kingdom",60%,Entire rental unit,Entire home/apt,$80.00,1,365,0,110,0,
Fun house,Natasha,51.55677,-0.24349,2022-12-14,,,Private room in home,Private room,$113.00,1,365,30,365,0,
Colourful bedroom + shower room in Greater London,Jean,51.40185,-0.25576,2015-02-13,"New Malden, United Kingdom",93%,Private room in guesthouse,Private room,$55.00,1,14,15,205,19,4.95
Beautiful double room,Anne,51.62275140483338,-0.1376603543758392,2019-09-22,,90%,Private room in home,Private room,$68.00,1,365,30,365,1,5.0
Lovely Welcoming Family Home (complete with cat!),Nighean,51.63438,-0.15806,2013-07-28,"London, United Kingdom",100%,Entire home,Entire home/apt,$379.00,3,1125,23,358,2,5.0
St Peters Space,Jahmal,51.3671154847428,-0.0968133217457457,2022-12-09,,87%,Entire rental unit,Entire home/apt,$93.00,2,365,8,273,3,4.33
1 Bed Apartment - Best Location,David,51.33724336977184,-0.1157671152565298,2016-02-25,"England, United Kingdom",100%,Entire rental unit,Entire home/apt,$86.00,7,60,22,82,0,
Top floor cosy studio with nice shower room.,Gil,51.61368,-0.12416,2012-07-02,"London, United Kingdom",63%,Private room in home,Private room,$75.00,1,1125,29,89,0,
Safe house - Great,Kaushik,51.36919381273762,0.0641480728875185,2022-12-13,,,Private room in home,Private room,$52.00,1,365,30,365,0,
"Lovely private room, 5 minutes from station",Jiwon,51.40655,-0.26004,2016-10-09,"London, United Kingdom",78%,Private room in home,Private room,$45.00,1,365,24,358,11,4.73
"The Finest, Friendliest, Luxe House in Tooting!",Pete,51.42119,-0.16218,2018-02-15,"England, United Kingdom",89%,Private room in home,Private room,$49.00,3,1125,0,280,11,4.91
1 bedroom,Amaaima,51.60855,-0.11528,2016-03-17,,0%,Private room in rental unit,Private room,$100.00,2,1125,28,363,0,
Spacious four-bedroom house & private garden,Hedayat,51.51877862931202,-0.2480103404077479,2023-01-03,,100%,Entire home,Entire home/apt,$720.00,4,365,8,158,0,
Cosy room in a family house,Mohammed,51.6146,0.11744,2020-10-21,"London, United Kingdom",,Private room in home,Private room,$43.00,1,365,29,364,0,
Napier House 2,Jahmal,51.35491027495773,-0.0972440750635248,2022-12-09,,87%,Entire home,Entire home/apt,$100.00,2,365,11,268,1,4.0
Double room Hyde Park,Xty,51.51425965930564,-0.162879081719599,2015-07-20,"England, United Kingdom",,Private room in rental unit,Private room,$49.00,20,300,30,238,1,5.0
Large bedroom with office desk and wardrobe,Cristiano Rodrigo,51.44667,-0.23979,2017-01-15,"London, United Kingdom",92%,Private room in casa particular,Private room,$100.00,1,30,0,249,9,4.67
Lovely 4 bed house in London,Ravi,51.53982,-0.24832,2016-06-28,"London, United Kingdom",44%,Entire home,Entire home/apt,$249.00,2,1125,0,61,0,
Eveline house  Spacious room available,Leon,51.409796463120415,-0.1631442037557678,2017-03-11,"London, United Kingdom",100%,Private room in home,Private room,$52.00,1,365,30,365,0,
Amazing & Spacious Cosy Double Room,Alex,51.45146,0.17229,2016-12-28,,89%,Private room in home,Private room,$43.00,2,28,29,89,0,
double size room with double size bed,Mark,51.60157,-0.14715,2015-12-05,"London, United Kingdom",,Private room in rental unit,Private room,$60.00,3,7,23,358,0,
Lovely 1 bed condo with free on site parking,Ashleigh,51.41865588075702,-0.1032492890954017,2022-06-07,"London, United Kingdom",,Entire condo,Entire home/apt,$214.00,2,7,30,365,0,
Gorgeous 5bed house in North London,Dolly,51.60502,-0.23639,2015-02-16,"London, United Kingdom",40%,Entire home,Entire home/apt,$500.00,14,1125,29,364,0,
Sweet dreams house,Mahmood,51.60883870736883,-0.2246557921171188,2014-05-19,"England, United Kingdom",55%,Private room in home,Private room,$57.00,1,365,29,364,0,
Cosy north London Home *Parking *Garden,Emma,51.6055,-0.14242,2022-02-15,"London, United Kingdom",99%,Entire condo,Entire home/apt,$167.00,2,1125,24,326,32,4.75
Tooting Private Room,Frances,51.43151688763501,-0.1675823710161999,2016-06-13,"London, United Kingdom",100%,Private room in home,Private room,$100.00,1,365,21,356,2,5.0
Beautiful 2 bedroom garden apartment,Fiona,51.54933582789512,-0.2325120495348571,2016-04-04,"London, United Kingdom",95%,Entire rental unit,Entire home/apt,$110.00,2,90,2,155,2,5.0
"Lovely townhouse in a quiet area, but near to shop",Sola,51.6080345,0.2096223,2022-05-23,,50%,Entire townhouse,Entire home/apt,$150.00,1,30,27,362,2,5.0
cheerful private en-suite room in a house,Ayesha,51.61805,-0.29188,2017-11-27,"England, United Kingdom",73%,Private room in home,Private room,$45.00,1,365,12,347,1,5.0
Cheerful 3 bedroom home with free parking,Rashid,51.58804,-0.2838,2018-08-22,"England, United Kingdom",91%,Entire home,Entire home/apt,$145.00,2,365,0,205,13,4.15
